chapter,name,file,canonical_verses,verse_sections_found,complete,missing_verses,heading_format,avg_words_per_verse,avg_paragraphs_per_verse,avg_bold_headings_per_verse,avg_words_per_verse_no_translation,verses_with_content,empty_verse_stubs,avg_words_per_verse_content,avg_paragraphs_per_verse_content,avg_bold_headings_per_verse_content,total_words,total_paragraphs,total_bold_headings,words_per_paragraph,words_per_bold_heading,verse_median_words,verse_min_words,verse_max_words,verse_stdev_words,inline_bold_labels,intro_words,intro_paragraphs,intro_bold_headings
1,Al-Fātiḥah,expanded/001.md,7,7,True,0,plain,1932.9,33.43,6.43,1923.7,7,0,1932.9,33.43,6.43,13530,234,45,57.8,300.7,1940,1662,2290,194.4,0,1650,26,5
2,Al-Baqarah,expanded/002.md,286,286,True,0,plain,821.1,9.07,3.31,782.0,286,0,821.1,9.07,3.31,234840,2594,946,90.5,248.2,801.0,356,1429,167.3,0,1057,18,5
3,Āl ʿImrān,expanded/003.md,200,200,True,0,plain,795.6,9.6,3.67,763.5,200,0,795.6,9.6,3.67,159128,1920,733,82.9,217.1,802.0,644,1537,105.6,4,1697,17,6
4,Al-Nisāʾ,expanded/004.md,176,176,True,0,plain,931.3,8.61,3.44,892.2,176,0,931.3,8.61,3.44,163909,1516,605,108.1,270.9,902.5,666,1700,152.2,0,871,6,0
5,Al-Māʾidah,expanded/005.md,120,120,True,0,plain,1496.7,20.36,7.54,1452.5,120,0,1496.7,20.36,7.54,179604,2443,905,73.5,198.5,1433.0,1023,2853,306.7,0,1400,17,5
6,Al-Anʿām,expanded/006.md,165,165,True,0,plain,1291.2,26.93,8.25,1255.6,165,0,1291.2,26.93,8.25,213049,4443,1361,48.0,156.5,1273,956,1821,165.2,0,1287,22,6
7,Al-Aʿrāf,expanded/007.md,206,206,True,0,plain,802.9,8.08,2.59,771.0,206,0,802.9,8.08,2.59,165393,1664,534,99.4,309.7,728.0,183,1909,317.2,0,964,8,4
8,Al-Anfāl,expanded/008.md,75,75,True,0,plain,1014.8,9.75,4.01,983.9,75,0,1014.8,9.75,4.01,76110,731,301,104.1,252.9,1023,762,1296,109.9,0,1566,14,6
9,Al-Tawbah,expanded/009.md,129,129,True,0,plain,799.5,10.19,3.99,762.9,129,0,799.5,10.19,3.99,103138,1314,515,78.5,200.3,776,505,1243,101.5,0,1157,11,4
10,Yūnus,expanded/010.md,109,109,True,0,plain,627.0,11.81,4.27,595.2,109,0,627.0,11.81,4.27,68344,1287,465,53.1,147.0,589,485,1159,124.8,0,1445,23,6
11,Hūd,expanded/011.md,123,123,True,0,plain,886.7,8.4,3.65,856.4,123,0,886.7,8.4,3.65,109062,1033,449,105.6,242.9,879,442,1324,180.3,0,1026,18,6
12,Yūsuf,expanded/012.md,111,111,True,0,plain,1130.8,13.79,4.32,1099.2,111,0,1130.8,13.79,4.32,125519,1531,480,82.0,261.5,1119,681,1875,276.0,0,1617,20,10
13,Al-Raʿd,expanded/013.md,43,43,True,0,plain,1094.9,19.37,6.44,1057.5,43,0,1094.9,19.37,6.44,47080,833,277,56.5,170.0,1082,795,1615,174.0,0,901,13,5
14,Ibrāhīm,expanded/014.md,52,52,True,0,plain,1016.5,12.9,4.88,985.8,52,0,1016.5,12.9,4.88,52856,671,254,78.8,208.1,1012.0,785,1504,154.1,0,953,10,5
15,Al-Ḥijr,expanded/015.md,99,99,True,0,plain,966.0,9.1,3.94,952.6,99,0,966.0,9.1,3.94,95637,901,390,106.1,245.2,1004,480,1402,196.5,0,1067,14,5
16,Al-Naḥl,expanded/016.md,128,128,True,0,plain,1549.9,29.62,8.24,1522.1,128,0,1549.9,29.62,8.24,198392,3792,1055,52.3,188.0,1533.0,1083,2306,170.1,0,1403,17,5
17,Al-Isrāʾ,expanded/017.md,111,111,True,0,plain,1068.6,15.31,5.93,1041.7,111,0,1068.6,15.31,5.93,118616,1699,658,69.8,180.3,1049,699,1957,172.8,0,0,0,0
18,Al-Kahf,expanded/018.md,110,110,True,0,plain,858.7,21.22,5.55,829.8,110,0,858.7,21.22,5.55,94457,2334,610,40.5,154.8,844.5,603,1238,129.0,0,1145,21,5
19,Maryam,expanded/019.md,98,98,True,0,plain,721.5,8.35,2.94,701.9,98,0,721.5,8.35,2.94,70708,818,288,86.4,245.5,701.5,418,1045,124.4,0,1690,16,6
20,Ṭā Hā,expanded/020.md,135,135,True,0,plain,475.8,7.5,3.25,455.8,135,0,475.8,7.5,3.25,64231,1013,439,63.4,146.3,461,353,817,81.8,0,935,8,4
21,Al-Anbiyāʾ,expanded/021.md,112,112,True,0,plain,1274.6,13.7,3.25,1254.3,112,0,1274.6,13.7,3.25,142757,1534,364,93.1,392.2,1250.5,964,1877,174.7,0,1693,17,6
22,Al-Ḥajj,expanded/022.md,78,78,True,0,plain,1004.3,25.21,7.04,974.6,78,0,1004.3,25.21,7.04,78339,1966,549,39.8,142.7,984.0,881,1440,94.8,0,926,11,5
23,Al-Muʾminūn,expanded/023.md,118,118,True,0,plain,1504.9,23.24,8.38,1488.1,118,0,1504.9,23.24,8.38,177578,2742,989,64.8,179.6,1437.5,1141,2214,198.3,0,1393,16,6
