chapter,name,tier,tier_label,verses,sections,verses_with_content,empty_stubs,words_per_verse,paragraphs_per_verse,bold_headings_per_verse,base_floor_words,base_floor_paragraphs,base_floor_headings,fails,failed_metrics,status,gap_words_per_verse,gap_paragraphs_per_verse,gap_bold_headings_per_verse,extra_words_needed,extra_paragraphs_needed,extra_headings_needed
37,Al-Ṣaffāt,T5,Very long,182,182,182,0,209.0,5.64,1.0,530,7.5,2.75,3,words_per_verse;paragraphs_per_verse;bold_headings_per_verse,below base,321.0,1.86,1.75,58422,339,318
20,Ṭā Hā,T4,Long,135,135,135,0,475.8,7.5,3.25,700,11.0,4.0,3,words_per_verse;paragraphs_per_verse;bold_headings_per_verse,below base,224.2,3.5,0.75,30267,472,101
39,Al-Zumar,T3,Medium,75,75,75,0,461.7,11.01,3.48,820,13.0,4.0,3,words_per_verse;paragraphs_per_verse;bold_headings_per_verse,below base,358.3,1.99,0.52,26872,149,39
34,Sabaʾ,T3,Medium,54,54,54,0,410.4,12.85,3.02,820,13.0,4.0,3,words_per_verse;paragraphs_per_verse;bold_headings_per_verse,below base,409.6,0.15,0.98,22118,8,53
67,Al-Mulk,T2,Short,30,30,30,0,403.2,12.63,3.03,970,16.5,4.5,3,words_per_verse;paragraphs_per_verse;bold_headings_per_verse,below base,566.8,3.87,1.47,17004,116,44
73,Al-Muzzammil,T2,Short,20,20,20,0,403.8,13.8,3.8,970,16.5,4.5,3,words_per_verse;paragraphs_per_verse;bold_headings_per_verse,below base,566.2,2.7,0.7,11324,54,14
97,Al-Qadr,T1,Very short,5,5,5,0,932.2,25.6,6.0,1800,29.0,6.25,3,words_per_verse;paragraphs_per_verse;bold_headings_per_verse,below base,867.8,3.4,0.25,4339,17,1
107,Al-Māʿūn,T1,Very short,7,7,7,0,1281.9,25.14,4.29,1800,29.0,6.25,3,words_per_verse;paragraphs_per_verse;bold_headings_per_verse,below base,518.1,3.86,1.96,3627,27,14
70,Al-Maʿārij,T3,Medium,44,44,44,0,762.5,11.5,3.16,820,13.0,4.0,3,words_per_verse;paragraphs_per_verse;bold_headings_per_verse,below base,57.5,1.5,0.84,2530,66,37
26,Al-Shuʿarāʾ,T5,Very long,227,227,191,36,271.1,7.1,2.92,530,7.5,2.75,2,words_per_verse;paragraphs_per_verse,partly below base,258.9,0.4,0.0,49450,76,0
