chapter,verse,words,paragraphs,bold_headings,words_below_floor,paragraphs_below_floor,headings_below_floor
2,33,698,7,2,0,0,1
2,232,620,6,2,0,0,1
2,235,707,7,2,0,0,1
2,239,496,5,2,0,1,1
2,240,540,5,2,0,1,1
2,241,458,5,2,0,1,1
2,243,711,7,2,0,0,1
2,244,431,5,2,0,1,1
2,246,782,5,2,0,1,1
2,249,867,5,2,0,1,1
2,250,530,6,2,0,0,1
2,251,766,7,2,0,0,1
2,252,412,3,1,8,3,2
2,257,512,5,2,0,1,1
2,263,567,5,2,0,1,1
2,269,571,6,2,0,0,1
2,270,356,5,2,64,1,1
2,276,555,6,2,0,0,1
2,277,429,5,2,0,1,1
2,278,489,5,2,0,1,1
2,279,671,5,2,0,1,1
2,280,555,7,2,0,0,1
2,281,485,5,2,0,1,1
2,283,586,5,2,0,1,1
3,17,687,9,2,0,0,1
3,30,678,6,2,0,0,1
3,36,793,9,2,0,0,1
3,44,656,7,2,0,0,1
3,55,792,6,2,0,0,1
3,84,689,12,2,0,0,1
3,101,662,6,2,0,0,1
3,126,718,7,2,0,0,1
3,135,693,8,2,0,0,1
3,155,723,8,2,0,0,1
3,170,665,8,2,0,0,1
3,190,822,9,2,0,0,1
4,80,891,7,2,0,0,1
4,100,778,5,2,0,1,1
4,101,775,5,2,0,1,1
4,107,685,5,2,0,1,1
4,108,748,5,2,0,1,1
4,114,981,5,2,0,1,1
4,115,1046,5,2,0,1,1
4,120,666,5,2,0,1,1
4,121,879,7,2,0,0,1
4,122,710,5,2,0,1,1
4,124,818,5,2,0,1,1
4,125,769,5,2,0,1,1
7,39,689,11,2,0,0,1
7,41,596,9,2,0,0,1
7,61,497,6,2,0,0,1
7,62,614,7,1,0,0,2
7,66,512,6,2,0,0,1
7,67,248,3,1,172,3,2
7,68,275,3,1,145,3,2
7,69,568,6,2,0,0,1
7,72,585,6,2,0,0,1
7,76,366,5,1,54,1,2
7,80,554,5,2,0,1,1
7,81,571,5,2,0,1,1
7,82,479,5,2,0,1,1
7,83,629,6,2,0,0,1
7,84,497,5,2,0,1,1
7,87,634,6,2,0,0,1
7,90,464,5,2,0,1,1
7,91,468,5,2,0,1,1
7,92,438,5,2,0,1,1
7,93,499,5,2,0,1,1
7,94,466,5,2,0,1,1
7,97,502,5,2,0,1,1
7,98,513,5,2,0,1,1
7,99,562,5,2,0,1,1
7,100,686,5,2,0,1,1
7,102,712,5,2,0,1,1
7,103,359,5,2,61,1,1
7,104,403,4,1,17,2,2
7,105,541,5,2,0,1,1
7,106,354,3,1,66,3,2
7,107,548,5,2,0,1,1
7,108,423,4,1,0,2,2
7,109,386,3,1,34,3,2
7,110,334,3,1,86,3,2
7,111,497,5,2,0,1,1
7,112,324,3,1,96,3,2
7,113,183,3,1,237,3,2
7,114,390,3,1,30,3,2
7,115,268,3,1,152,3,2
7,116,554,5,2,0,1,1
7,117,513,5,2,0,1,1
7,118,414,5,2,6,1,1
7,119,378,3,1,42,3,2
7,120,576,5,2,0,1,1
7,121,387,3,1,33,3,2
7,122,424,3,1,0,3,2
7,123,618,5,2,0,1,1
7,124,439,4,1,0,2,2
7,125,329,3,1,91,3,2
7,126,603,4,1,0,2,2
7,127,704,5,2,0,1,1
7,128,630,5,2,0,1,1
7,129,644,5,2,0,1,1
7,130,551,5,2,0,1,1
7,131,633,5,2,0,1,1
7,132,406,3,1,14,3,2
7,133,659,5,2,0,1,1
7,134,611,5,2,0,1,1
7,135,543,5,2,0,1,1
7,136,508,5,2,0,1,1
7,137,774,5,2,0,1,1
7,138,660,5,2,0,1,1
7,139,421,3,1,0,3,2
7,140,530,5,2,0,1,1
7,141,665,5,2,0,1,1
7,142,799,5,2,0,1,1
7,147,736,5,2,0,1,1
7,148,786,5,2,0,1,1
7,149,675,5,2,0,1,1
7,151,602,5,2,0,1,1
7,152,769,5,2,0,1,1
7,153,503,3,1,0,3,2
7,154,662,5,2,0,1,1
7,158,620,5,2,0,1,1
7,159,655,5,2,0,1,1
7,160,758,5,2,0,1,1
7,161,572,5,2,0,1,1
7,162,600,5,2,0,1,1
7,163,628,5,2,0,1,1
7,164,638,5,2,0,1,1
7,165,529,3,1,0,3,2
7,166,410,3,1,10,3,2
7,167,687,5,2,0,1,1
7,169,696,5,2,0,1,1
7,171,803,5,2,0,1,1
7,174,566,5,2,0,1,1
7,175,934,6,2,0,0,1
7,177,461,3,1,0,3,2
7,178,581,4,1,0,2,2
7,181,499,3,1,0,3,2
7,182,556,3,1,0,3,2
7,183,562,3,1,0,3,2
7,184,671,5,2,0,1,1
7,185,796,5,2,0,1,1
7,186,681,5,2,0,1,1
7,189,830,5,2,0,1,1
7,190,885,5,2,0,1,1
7,191,401,3,1,19,3,2
7,192,524,3,1,0,3,2
7,193,661,5,2,0,1,1
7,194,720,5,2,0,1,1
7,195,915,5,2,0,1,1
7,196,586,3,1,0,3,2
7,197,600,3,1,0,3,2
7,198,485,3,1,0,3,2
7,200,672,5,2,0,1,1
7,201,714,5,2,0,1,1
7,202,567,3,1,0,3,2
7,203,963,5,2,0,1,1
7,204,901,5,2,0,1,1
7,206,1111,6,2,0,0,1
11,79,521,5,2,0,1,1
11,80,580,5,2,0,1,1
11,83,601,5,2,0,1,1
11,90,565,5,2,0,1,1
11,99,607,5,2,0,1,1
11,104,509,5,2,0,1,1
11,108,589,5,2,0,1,1
11,110,578,5,2,0,1,1
11,112,529,5,2,0,1,1
11,115,583,5,2,0,1,1
11,118,570,5,2,0,1,1
11,122,442,5,2,0,1,1
15,75,499,5,2,0,1,1
15,76,480,5,2,0,1,1
19,3,710,7,2,0,0,1
19,6,725,7,2,0,0,1
19,14,674,7,2,0,0,1
19,18,624,7,2,0,0,1
19,19,652,7,2,0,0,1
19,20,607,7,2,0,0,1
19,22,753,7,2,0,0,1
19,24,677,7,2,0,0,1
19,29,701,7,2,0,0,1
19,43,702,7,2,0,0,1
19,45,633,7,2,0,0,1
19,53,592,7,2,0,0,1
19,55,561,7,2,0,0,1
19,57,454,6,2,0,0,1
19,66,418,6,2,2,0,1
20,19,376,7,3,44,0,0
20,22,400,7,3,20,0,0
20,25,403,7,3,17,0,0
20,29,398,7,3,22,0,0
20,31,362,7,3,58,0,0
20,32,369,7,3,51,0,0
20,34,403,7,3,17,0,0
20,35,415,7,3,5,0,0
20,37,406,7,3,14,0,0
20,43,399,7,3,21,0,0
20,45,414,7,3,6,0,0
20,49,390,7,3,30,0,0
20,51,411,7,3,9,0,0
20,52,413,7,3,7,0,0
20,57,412,7,3,8,0,0
20,59,403,7,3,17,0,0
20,60,409,7,3,11,0,0
20,61,404,7,3,16,0,0
20,62,362,7,3,58,0,0
20,63,406,7,3,14,0,0
20,65,378,7,3,42,0,0
20,66,412,7,3,8,0,0
20,67,379,7,3,41,0,0
20,68,384,7,3,36,0,0
20,75,409,7,3,11,0,0
20,78,416,7,3,4,0,0
20,79,384,7,3,36,0,0
20,83,397,7,3,23,0,0
20,92,396,7,3,24,0,0
20,93,366,7,3,54,0,0
20,95,410,7,3,10,0,0
20,100,395,7,3,25,0,0
20,101,378,7,3,42,0,0
20,102,375,7,3,45,0,0
20,103,379,7,3,41,0,0
20,105,398,7,3,22,0,0
20,106,369,7,3,51,0,0
20,107,353,7,3,67,0,0
20,112,412,7,3,8,0,0
20,116,417,7,3,3,0,0
20,118,394,7,3,26,0,0
20,119,409,7,3,11,0,0
21,52,968,10,2,0,0,1
21,75,1057,10,2,0,0,1
21,77,998,10,2,0,0,1
21,85,1326,11,2,0,0,1
21,86,1103,11,2,0,0,1
21,93,1046,10,2,0,0,1
21,95,1165,11,2,0,0,1
21,96,1132,11,2,0,0,1
21,100,1032,10,2,0,0,1
21,101,1219,11,2,0,0,1
21,102,1284,12,2,0,0,1
21,106,1138,11,2,0,0,1
21,107,1286,11,2,0,0,1
21,108,1106,10,2,0,0,1
21,109,1220,11,2,0,0,1
21,110,977,10,2,0,0,1
21,111,1119,11,2,0,0,1
26,30,356,9,4,64,0,0
26,31,384,9,4,36,0,0
26,38,392,9,4,28,0,0
26,39,400,9,4,20,0,0
26,41,403,9,4,17,0,0
26,42,415,9,4,5,0,0
26,43,386,9,4,34,0,0
26,52,362,9,4,58,0,0
26,53,243,7,3,177,0,0
26,54,205,9,3,215,0,0
26,55,204,7,3,216,0,0
26,56,209,7,3,211,0,0
26,57,208,7,3,212,0,0
26,58,254,7,3,166,0,0
26,59,223,7,3,197,0,0
26,60,137,5,2,283,1,1
26,61,231,7,3,189,0,0
26,62,336,10,4,84,0,0
26,63,419,11,5,1,0,0
26,64,265,7,3,155,0,0
26,65,218,7,3,202,0,0
26,66,346,9,4,74,0,0
26,67,169,5,2,251,1,1
26,68,100,3,1,320,3,2
26,69,232,7,3,188,0,0
26,70,256,7,3,164,0,0
26,71,246,7,3,174,0,0
26,72,192,5,2,228,1,1
26,73,188,5,2,232,1,1
26,74,260,7,3,160,0,0
26,75,158,5,2,262,1,1
26,76,97,3,1,323,3,2
26,77,253,7,3,167,0,0
26,78,201,5,2,219,1,1
26,79,155,5,2,265,1,1
26,80,228,7,3,192,0,0
26,81,234,7,3,186,0,0
26,82,284,7,3,136,0,0
26,83,248,7,3,172,0,0
26,84,247,7,3,173,0,0
26,85,155,5,2,265,1,1
26,86,262,7,3,158,0,0
26,87,256,7,3,164,0,0
26,88,164,5,2,256,1,1
26,89,325,9,4,95,0,0
26,90,239,8,3,181,0,0
26,91,141,5,2,279,1,1
26,92,155,5,2,265,1,1
26,93,150,5,2,270,1,1
26,94,144,5,2,276,1,1
26,95,121,5,2,299,1,1
26,96,146,5,2,274,1,1
26,97,150,5,2,270,1,1
26,98,170,5,2,250,1,1
26,99,170,5,2,250,1,1
26,100,140,7,2,280,0,1
26,101,138,5,2,282,1,1
26,102,171,5,2,249,1,1
26,103,105,3,1,315,3,2
26,105,152,5,2,268,1,1
26,106,174,5,2,246,1,1
26,107,147,5,2,273,1,1
26,108,83,3,1,337,3,2
26,109,120,3,1,300,3,2
26,110,67,3,1,353,3,2
26,111,244,9,3,176,0,0
26,112,219,7,3,201,0,0
26,113,162,5,2,258,1,1
26,114,144,5,2,276,1,1
26,115,149,5,2,271,1,1
26,116,164,5,2,256,1,1
26,117,153,5,2,267,1,1
26,118,143,5,2,277,1,1
26,119,151,5,2,269,1,1
26,120,143,5,2,277,1,1
26,121,79,3,1,341,3,2
26,123,135,5,2,285,1,1
26,124,180,5,2,240,1,1
26,128,162,5,2,258,1,1
26,129,162,5,2,258,1,1
26,130,155,5,2,265,1,1
26,131,78,3,1,342,3,2
26,132,165,5,2,255,1,1
26,135,99,3,1,321,3,2
26,136,186,6,2,234,0,1
26,137,172,5,2,248,1,1
26,138,178,5,2,242,1,1
26,139,156,5,2,264,1,1
26,141,186,5,2,234,1,1
26,146,174,5,2,246,1,1
26,149,157,5,2,263,1,1
26,150,174,5,2,246,1,1
26,153,131,5,2,289,1,1
26,154,260,7,3,160,0,0
26,155,183,5,2,237,1,1
26,156,138,5,2,282,1,1
26,157,167,5,2,253,1,1
26,158,84,3,1,336,3,2
26,159,68,3,1,352,3,2
26,160,210,5,2,210,1,1
26,165,154,5,2,266,1,1
26,166,136,5,2,284,1,1
26,167,106,3,1,314,3,2
26,168,157,5,2,263,1,1
26,169,142,5,2,278,1,1
26,170,61,3,1,359,3,2
26,171,151,5,2,269,1,1
26,172,169,5,2,251,1,1
26,174,75,3,1,345,3,2
26,176,190,5,2,230,1,1
26,181,272,7,3,148,0,0
26,184,102,3,1,318,3,2
26,185,134,5,2,286,1,1
26,187,152,5,2,268,1,1
26,188,77,3,1,343,3,2
26,189,166,5,2,254,1,1
26,190,96,3,1,324,3,2
26,192,257,7,3,163,0,0
26,193,266,7,3,154,0,0
26,194,253,7,3,167,0,0
